Date,Account ID,Invoice/CM #,Line Description,Debit Amnt,Credit Amnt,Name,Sales Rep Name,Qty,Item ID,Item Description,Sku Type,Principla
04/11/2023,4000,COL23-04C-0030,CHOCQUIK FIVE 10PCSX20,,1250.95,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,849,CHOCQUIK FIVE 10PCSX20,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,959.25,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,849,CHOCQUIK FIVE 10PCSX20,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,959.25,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,849,CHOCQUIK FIVE 10PCSX20,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,CHOCQUIK COOKIES 10PCSX20,,1092.1,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,685,CHOCQUIK COOKIES 10PCSX20,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,912.63,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,685,CHOCQUIK COOKIES 10PCSX20,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,912.63,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,685,CHOCQUIK COOKIES 10PCSX20,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,OTSO CHOCOLATE 10PCSX20,,1092.1,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,601,OTSO CHOCOLATE 10PCSX20,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,912.63,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,601,OTSO CHOCOLATE 10PCSX20,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,912.63,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,601,OTSO CHOCOLATE 10PCSX20,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,FROOTY PINTOORA POP 20PCSX50,,1241.02,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,719,FROOTY PINTOORA POP 20PCSX50,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,940,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,719,FROOTY PINTOORA POP 20PCSX50,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,940,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,719,FROOTY PINTOORA POP 20PCSX50,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,POTCHI GUMMY WORMS JAR 120PCSX12,,1252.27,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,749,POTCHI G.WORMS JAR 120PCSX12,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,941.77,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,749,POTCHI G.WORMS JAR 120PCSX12,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,941.77,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,749,POTCHI G.WORMS JAR 120PCSX12,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,POTCHI HOOLA HOOP JAR 120PCX12,,1252.27,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,112,POTCHI HOOLAHOOP JAR 120PCSX12,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,941.77,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,112,POTCHI HOOLAHOOP JAR 120PCSX12,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,941.77,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,112,POTCHI HOOLAHOOP JAR 120PCSX12,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,JUMBO CHERRI JAR 100PCSX12,,1323.76,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,710,JUMBO CHERRI JAR 100PCSX12,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,1166.49,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,710,JUMBO CHERRI JAR 100PCSX12,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,1166.49,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,710,JUMBO CHERRI JAR 100PCSX12,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,JUMBO REG. PACK 25PCSX40,,1065.62,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,839,JUMBO REG. PACK 25PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,909.31,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,839,JUMBO REG. PACK 25PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,909.31,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,839,JUMBO REG. PACK 25PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,FRUTOS MILK TEA 50PCSX40,,1456.13,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,1086,FRUTOS MILK TEA 50PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,1111.15,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,1086,FRUTOS MILK TEA 50PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,1111.15,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,1086,FRUTOS MILK TEA 50PCSX40,CASE,CIFPI
