Date,Account ID,Invoice/CM #,Line Description,Debit Amnt,Credit Amnt,Name,Sales Rep Name,Qty,Item ID,Item Description,Sku_type,Principal
3/28/23,4000,COL23-03C-0468,I MILK 50PCSX40,,"1,425.60",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),1,930,IMILK 50PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0468,Cost of sales,"1,030.00",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),1,930,IMILK 50PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0468,Cost of sales,,"1,030.00",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),1,930,IMILK 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0468,JUMBO CRAYON GUMBALL 120PCSX12,,"2,592.00",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),2,146,JUMBO CRAYON 120PCSX12,Case,CIFPI
3/28/23,4000,COL23-03C-0468,MONAMI STRAWBERRY&CREAM 50PCSX40,,"2,734.56",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),2,965,MONAMI STRW&CREAM 50PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0468,Cost of sales,"2,222.30",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),2,965,MONAMI STRW&CREAM 50PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0468,Cost of sales,,"2,222.30",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),2,965,MONAMI STRW&CREAM 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0468,MYBIDA COMBO MIX 10PCSX20,,"2,138.40",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),2,657,MYBIDA COMBO MIX 10PCSX20,Case,CIFPI
3/28/23,5000,COL23-03C-0468,Cost of sales,"1,789.48",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),2,657,MYBIDA COMBO MIX 10PCSX20,Case,CIFPI
3/28/23,1200,COL23-03C-0468,Cost of sales,,"1,789.48",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),2,657,MYBIDA COMBO MIX 10PCSX20,Case,CIFPI
3/28/23,4000,COL23-03C-0468,OTSO CHOCOLATE 10PCSX20,,"2,138.40",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),2,601,OTSO CHOCOLATE 10PCSX20,Case,CIFPI
3/28/23,5000,COL23-03C-0468,Cost of sales,"1,825.26",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),2,601,OTSO CHOCOLATE 10PCSX20,Case,CIFPI
3/28/23,1200,COL23-03C-0468,Cost of sales,,"1,825.26",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),2,601,OTSO CHOCOLATE 10PCSX20,Case,CIFPI
3/28/23,4000,COL23-03C-0468,PINTOORA GUMBALL 25PCSX40,,"2,112.48",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),2,877,PINTOORA GUMBALL 25PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0468,POTCHI CHOCO MALLOWS 24PCSX18,,"2,340.90",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),5,188,POTCHI CHOCO MALLOWS 24PCSX18,Case,CIFPI
3/28/23,5000,COL23-03C-0468,Cost of sales,"1,923.70",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),5,188,POTCHI CHOCO MALLOWS 24PCSX18,Case,CIFPI
3/28/23,1200,COL23-03C-0468,Cost of sales,,"1,923.70",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),5,188,POTCHI CHOCO MALLOWS 24PCSX18,Case,CIFPI
3/28/23,4000,COL23-03C-0468,POTCHI CHOCO PEACH MANGO MALLOWS 24PCSX18,,"2,340.90",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),5,161,POTCHI CHOCO P. MANGO MALLOWS,Case,CIFPI
3/28/23,4000,COL23-03C-0468,POTCHI MY JUIZ ORANGE S.P 18PCKSX10IBX25G,,"1,161.00",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),1,183,POTCHI MY JUIZ ORANGE S.P,Case,CIFPI
3/28/23,4000,COL23-03C-0468,PRETZEE CHOCOLATE 100PCSX28G,,"2,997.00",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),5,176,PRETZEE CHOCOLATE 100PCSX28G,Case,CIFPI
3/28/23,4000,COL23-03C-0468,SUPER BUBBLE 40PCSX40,,"1,445.04",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),1,832,SUPER BUBBLE 40PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0468,Cost of sales,"1,138.32",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),1,832,SUPER BUBBLE 40PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0468,Cost of sales,,"1,138.32",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),1,832,SUPER BUBBLE 40PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0468,COLUMBIA DISCOUNT,637.03,,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),"63,703.40",DSC1,DISCOUNT,Case,CIFPI
3/28/23,4000,COL23-03C-0468,COLUMBIA DISCOUNT,630.66,,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),"63,066.37",DSC1,DISCOUNT,Case,CIFPI
3/28/23,4000,COL23-03C-0468,COLUMBIA DISCOUNT,624.36,,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),"62,435.71",DSC1,DISCOUNT,Case,CIFPI
3/28/23,1100,COL23-03C-0468,JULMAR COMMERCIAL INC.,"61,811.35",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),,,,Case,CIFPI
3/28/23,4000,COL23-03C-0469,FRUTOS 50PCSX40,,"28,512.00",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),20,830,FRUTOS 50PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0469,Cost of sales,"22,603.20",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),20,830,FRUTOS 50PCSX40,Case,CIFPI
